账户(出资实体),交易日期,股票代码,股票名称,交易,股数,交易货币,价格,股票总值,股票净值
E,2016/11/21,BCP.PL,BANCO COM PORT-R,买入,"157,437,395.00", 欧元(EUR) ,1.11,"174,582,327.32","174,582,327.32"
C,2016/12/22,NRF,Northstar Realty Finance,卖出,"-202,819.00", 美元(USD) ,15.12,"-3,065,994.54","-3,061,328.71"
C,2016/12/22,NRF,Northstar Realty Finance,卖出,"-384,463.00", 美元(USD) ,15.12,"-5,811,888.72","-5,803,044.19"
C,2016/12/23,NRF,Northstar Realty Finance,卖出,"-154,181.00", 美元(USD) ,15.16,"-2,336,813.49","-2,333,257.32"
G,2016/12/30,NRF,Northstar Realty Finance,卖出,"-192,900.00", 美元(USD) ,15.15,"-2,922,435.00","-2,922,435.00"
B,2017/1/10,NRF,Northstar Realty Finance,卖出,"-389,564.00", 美元(USD) ,16.13,"-6,283,667.32","-6,283,667.32"
B,2017/1/12,CLNS,Colony Northstar,买入,"428,364.00", 美元(USD) ,14.67,"6,283,658.89","6,283,667.25"
B,2017/1/23,COWN,Cowen Group,买入,"26,246.00", 美元(USD) ,14.64,"384,330.68","384,593.14"
B,2017/1/24,COWN,Cowen Group,买入,"2,763.00", 美元(USD) ,14.87,"41,083.32","41,110.95"
B,2017/1/27,COWN,Cowen Group,买入,700, 美元(USD) ,15,"10,500.00","10,507.00"
B,2017/1/30,COWN,Cowen Group,买入,"9,488.00", 美元(USD) ,14.92,"141,596.07","141,690.95"
B,2017/1/31,COWN,Cowen Group,买入,"16,686.00", 美元(USD) ,14.96,"249,540.80","249,707.66"
B,2017/2/1,COWN,Cowen Group,买入,"36,183.00", 美元(USD) ,14.98,"542,017.72","542,379.55"
C,2017/2/2,CLNS,Colony Northstar,买入,"350,000.00", 美元(USD) ,14.18,"4,963,665.00","4,971,110.50"
B,2017/2/2,COWN,Cowen Group,买入,"33,100.00", 美元(USD) ,14.77,"488,966.44","489,297.44"
B,2017/2/3,COWN,Cowen Group,买入,"11,800.00", 美元(USD) ,14.93,"176,123.26","176,241.26"
E,2017/2/7,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"3,458,272,320.00", 欧元(EUR) ,0.11,"374,370,289.79","374,390,006.87"
